,date,category,sales,quantity,profit,region
243,2020-08-31,Furniture,509.92,3,143.37,East
244,2020-09-01,Furniture,992.61,18,138.05,West
245,2020-09-02,Grocery,879.55,5,93.58,North
246,2020-09-03,Clothing,402.29,6,29.58,West
247,2020-09-04,Furniture,998.76,13,266.19,East
248,2020-09-05,Electronics,172.22,18,17.71,East
249,2020-09-06,Electronics,352.98,14,47.36,North
250,2020-09-07,Grocery,436.33,4,22.18,West
251,2020-09-08,Furniture,173.71,13,47.5,South
252,2020-09-09,Furniture,419.4,16,21.79,West
253,2020-09-10,Electronics,289.58,16,68.56,South
254,2020-09-11,Clothing,110.9,2,28.35,West
255,2020-09-12,Grocery,285.58,8,64.86,West
256,2020-09-13,Furniture,821.05,16,98.55,South
257,2020-09-14,Grocery,756.36,19,198.19,South
258,2020-09-15,Clothing,466.83,11,124.2,South
259,2020-09-16,Furniture,369.93,2,25.88,South
260,2020-09-17,Clothing,282.94,4,18.47,South
261,2020-09-18,Electronics,759.7,1,192.98,East
262,2020-09-19,Furniture,334.69,8,58.15,North
263,2020-09-20,Furniture,346.47,11,95.73,West
264,2020-09-21,Furniture,107.45,8,15.57,South
265,2020-09-22,Furniture,875.78,15,117.45,South
266,2020-09-23,Furniture,989.63,9,188.69,South
267,2020-09-24,Furniture,818.5,9,152.74,North
268,2020-09-25,Electronics,828.84,3,138.23,South
269,2020-09-26,Furniture,860.55,7,99.24,South
270,2020-09-27,Furniture,341.37,7,98.75,South
271,2020-09-28,Furniture,146.28,17,26.18,South
272,2020-09-29,Electronics,779.65,18,153.94,East
273,2020-09-30,Furniture,198.07,2,24.17,North
274,2020-10-01,Furniture,399.13,17,22.57,North
275,2020-10-02,Grocery,534.19,17,127.15,East
276,2020-10-03,Clothing,332.31,9,78.55,South
277,2020-10-04,Furniture,410.8,7,34.23,South
278,2020-10-05,Grocery,198.4,8,50.11,North
279,2020-10-06,Grocery,816.48,1,158.93,West
280,2020-10-07,Electronics,696.45,12,147.97,East
281,2020-10-08,Grocery,305.98,14,72.38,East
282,2020-10-09,Electronics,515.0,6,95.0,West
283,2020-10-10,Electronics,749.46,12,84.92,West
284,2020-10-11,Clothing,652.0,12,156.4,South
285,2020-10-12,Grocery,191.38,5,49.09,East
286,2020-10-13,Electronics,792.89,5,50.5,South
287,2020-10-14,Electronics,228.37,3,35.44,South
288,2020-10-15,Electronics,503.99,11,62.44,South
289,2020-10-16,Grocery,139.74,10,20.24,North
290,2020-10-17,Grocery,645.5,12,132.76,East
291,2020-10-18,Furniture,752.58,8,144.38,East
292,2020-10-19,Furniture,930.65,18,188.02,West
293,2020-10-20,Electronics,865.02,15,194.44,North
294,2020-10-21,Grocery,992.21,19,289.55,South
295,2020-10-22,Furniture,459.11,19,38.66,South
296,2020-10-23,Grocery,623.95,1,72.3,West
297,2020-10-24,Grocery,789.85,15,106.28,West
298,2020-10-25,Grocery,713.55,3,189.26,South
299,2020-10-26,Electronics,964.86,15,240.98,East
300,2020-10-27,Clothing,737.5,14,127.03,North
301,2020-10-28,Clothing,640.92,19,118.97,South
302,2020-10-29,Clothing,689.83,18,202.35,South
303,2020-10-30,Furniture,694.07,15,59.09,East
304,2020-10-31,Grocery,843.56,7,143.02,West
305,2020-11-01,Clothing,127.1,14,21.25,South
306,2020-11-02,Grocery,657.2,6,140.4,East
307,2020-11-03,Furniture,498.58,12,55.35,South
308,2020-11-04,Furniture,799.92,4,96.3,South
309,2020-11-05,Clothing,810.41,6,56.68,South
310,2020-11-06,Furniture,879.77,12,133.85,West
311,2020-11-07,Clothing,172.58,10,23.33,North
312,2020-11-08,Grocery,540.26,10,143.14,West
313,2020-11-09,Electronics,763.02,11,88.29,North
314,2020-11-10,Clothing,278.08,12,24.84,East
315,2020-11-11,Grocery,368.38,3,91.64,West
316,2020-11-12,Electronics,903.48,11,71.6,East
317,2020-11-13,Grocery,532.83,16,131.22,South
318,2020-11-14,Electronics,457.96,19,53.34,East
319,2020-11-15,Clothing,167.96,9,33.5,South
320,2020-11-16,Furniture,981.87,17,80.33,West
321,2020-11-17,Furniture,880.03,15,263.27,North
322,2020-11-18,Clothing,522.27,7,33.79,South
323,2020-11-19,Grocery,314.8,17,25.28,North
324,2020-11-20,Furniture,596.23,15,173.68,South
325,2020-11-21,Furniture,303.42,8,88.82,East
326,2020-11-22,Electronics,730.91,15,65.11,North
327,2020-11-23,Grocery,167.84,19,40.05,North
328,2020-11-24,Clothing,125.45,17,31.48,West
329,2020-11-25,Furniture,558.76,10,152.03,West
330,2020-11-26,Electronics,505.08,12,151.16,South
331,2020-11-27,Electronics,389.7,12,79.43,South
332,2020-11-28,Furniture,815.63,17,210.08,East
333,2020-11-29,Electronics,576.42,9,33.92,West
334,2020-11-30,Furniture,797.78,3,164.04,North
335,2020-12-01,Grocery,186.15,11,26.5,North
336,2020-12-02,Electronics,173.08,12,48.2,West
337,2020-12-03,Clothing,711.2,3,108.22,West
338,2020-12-04,Electronics,953.5,16,52.36,West
339,2020-12-05,Electronics,757.75,12,177.88,East
340,2020-12-06,Electronics,734.52,19,172.92,South
341,2020-12-07,Furniture,251.7,17,71.28,East
342,2020-12-08,Furniture,618.16,14,157.25,South
343,2020-12-09,Furniture,483.74,11,122.74,West
344,2020-12-10,Furniture,523.6,1,60.7,West
345,2020-12-11,Grocery,840.94,19,187.45,South
346,2020-12-12,Electronics,363.5,3,91.06,North
347,2020-12-13,Grocery,191.91,13,47.57,North
348,2020-12-14,Grocery,261.51,5,42.98,South
349,2020-12-15,Furniture,351.98,12,96.85,West
350,2020-12-16,Grocery,770.1,5,48.69,West
351,2020-12-17,Furniture,389.46,14,114.7,East
352,2020-12-18,Electronics,324.42,16,39.78,East
353,2020-12-19,Clothing,558.61,5,123.38,East
354,2020-12-20,Furniture,333.01,17,30.11,West
355,2020-12-21,Grocery,808.13,7,194.44,East
356,2020-12-22,Electronics,647.77,11,89.89,West
357,2020-12-23,Electronics,619.01,3,92.12,West
358,2020-12-24,Electronics,516.91,16,99.27,North
359,2020-12-25,Grocery,899.21,2,260.83,West
360,2020-12-26,Furniture,639.8,8,160.08,West
361,2020-12-27,Grocery,636.44,17,154.54,West
362,2020-12-28,Grocery,252.7,10,21.08,East
363,2020-12-29,Electronics,153.18,5,24.75,South
364,2020-12-30,Clothing,860.59,15,201.07,South
365,2020-12-31,Clothing,143.01,2,33.26,East
366,2021-01-01,Grocery,355.02,18,81.63,East
367,2021-01-02,Electronics,360.38,9,74.43,West
368,2021-01-03,Electronics,413.59,8,56.64,North
369,2021-01-04,Electronics,809.58,12,92.14,East
370,2021-01-05,Furniture,225.0,5,18.0,West
371,2021-01-06,Clothing,903.84,10,95.28,West
372,2021-01-07,Electronics,516.35,2,75.19,North
373,2021-01-08,Grocery,716.46,15,187.2,West
374,2021-01-09,Clothing,296.7,13,29.6,West
375,2021-01-10,Grocery,808.13,10,61.58,North
376,2021-01-11,Electronics,144.61,10,32.82,South
377,2021-01-12,Clothing,838.65,5,243.97,South
378,2021-01-13,Clothing,900.72,14,264.7,South
379,2021-01-14,Clothing,361.5,6,67.52,East
380,2021-01-15,Furniture,173.95,15,45.41,North
381,2021-01-16,Electronics,233.33,1,24.12,West
382,2021-01-17,Grocery,833.13,15,170.03,North
383,2021-01-18,Grocery,324.8,14,86.99,North
384,2021-01-19,Electronics,206.82,3,51.34,West
385,2021-01-20,Furniture,114.83,8,18.27,South
386,2021-01-21,Clothing,840.55,6,112.53,East
387,2021-01-22,Grocery,422.75,9,74.09,South
388,2021-01-23,Clothing,148.42,12,19.87,North
389,2021-01-24,Electronics,897.27,16,162.38,South
390,2021-01-25,Electronics,634.9,1,96.24,East
391,2021-01-26,Electronics,407.44,19,116.23,East
392,2021-01-27,Grocery,829.34,7,139.1,West
393,2021-01-28,Furniture,257.21,5,33.25,South
394,2021-01-29,Electronics,950.37,13,197.37,North
395,2021-01-30,Clothing,944.16,10,197.01,South
396,2021-01-31,Furniture,431.13,6,57.36,West
397,2021-02-01,Grocery,790.43,16,141.33,North
398,2021-02-02,Grocery,434.6,15,95.78,North
399,2021-02-03,Electronics,126.02,6,26.15,South
400,2021-02-04,Electronics,709.1,9,181.44,North
401,2021-02-05,Clothing,945.28,4,277.11,East
402,2021-02-06,Clothing,857.16,3,247.36,West
403,2021-02-07,Clothing,929.89,10,234.69,West
404,2021-02-08,Electronics,162.65,1,46.12,East
405,2021-02-09,Grocery,755.54,4,181.5,South
406,2021-02-10,Electronics,894.42,2,193.19,East
407,2021-02-11,Electronics,199.79,16,29.81,North
408,2021-02-12,Grocery,336.1,9,92.65,West
409,2021-02-13,Grocery,671.29,15,140.35,North
410,2021-02-14,Clothing,446.18,14,95.91,West
411,2021-02-15,Electronics,266.38,16,74.77,West
412,2021-02-16,Grocery,869.43,3,153.59,East
413,2021-02-17,Electronics,988.89,9,50.59,North
414,2021-02-18,Grocery,713.91,14,161.02,West
415,2021-02-19,Clothing,331.89,8,93.59,East
416,2021-02-20,Furniture,920.0,8,62.31,West
417,2021-02-21,Clothing,581.66,7,135.56,South
418,2021-02-22,Grocery,389.94,6,82.94,South
419,2021-02-23,Grocery,737.31,19,143.88,South
420,2021-02-24,Electronics,721.55,2,37.47,West
421,2021-02-25,Furniture,692.93,10,206.84,East
422,2021-02-26,Clothing,652.51,10,136.91,South
423,2021-02-27,Electronics,351.46,13,42.66,North
424,2021-02-28,Furniture,226.19,2,16.63,North
425,2021-03-01,Furniture,914.75,4,54.15,North
426,2021-03-02,Electronics,886.79,8,130.82,North
427,2021-03-03,Electronics,178.15,1,50.97,North
428,2021-03-04,Grocery,298.65,7,30.13,West
429,2021-03-05,Furniture,743.17,18,199.05,East
430,2021-03-06,Grocery,263.39,18,28.78,North
431,2021-03-07,Clothing,780.37,5,159.87,West
432,2021-03-08,Clothing,233.05,14,56.22,North
433,2021-03-09,Clothing,511.96,9,89.87,North
434,2021-03-10,Clothing,802.5,9,213.73,South
435,2021-03-11,Grocery,752.98,18,51.67,South
436,2021-03-12,Clothing,592.89,4,99.59,North
437,2021-03-13,Electronics,398.39,6,57.81,West
438,2021-03-14,Furniture,293.04,19,20.05,South
439,2021-03-15,Grocery,717.89,1,202.19,South
440,2021-03-16,Clothing,193.84,3,39.56,West
441,2021-03-17,Clothing,725.32,19,96.02,South
442,2021-03-18,Clothing,316.66,13,82.78,West
443,2021-03-19,Electronics,544.85,14,130.15,West
444,2021-03-20,Furniture,649.14,2,47.46,East
445,2021-03-21,Clothing,337.75,18,87.53,North
446,2021-03-22,Electronics,522.82,2,59.24,South
447,2021-03-23,Grocery,576.13,19,170.88,South
448,2021-03-24,Furniture,798.83,10,210.03,South
449,2021-03-25,Furniture,736.39,11,200.12,North
450,2021-03-26,Clothing,843.59,11,169.88,East
451,2021-03-27,Clothing,711.93,17,90.24,West
452,2021-03-28,Grocery,686.81,16,154.54,South
453,2021-03-29,Grocery,187.98,10,51.41,West
454,2021-03-30,Furniture,660.29,17,110.88,South
455,2021-03-31,Grocery,275.85,4,21.21,North
456,2021-04-01,Electronics,806.97,4,192.51,South
457,2021-04-02,Grocery,937.21,16,117.01,South
458,2021-04-03,Furniture,550.4,14,83.3,South
459,2021-04-04,Clothing,949.37,10,141.12,South
460,2021-04-05,Clothing,448.19,14,60.18,South
461,2021-04-06,Grocery,237.41,12,28.09,West
462,2021-04-07,Electronics,977.82,17,134.13,West
463,2021-04-08,Electronics,592.75,16,107.92,North
464,2021-04-09,Clothing,949.65,4,203.02,South
465,2021-04-10,Electronics,207.58,2,14.75,West
466,2021-04-11,Electronics,348.24,9,44.03,South
467,2021-04-12,Grocery,789.99,7,41.88,North
468,2021-04-13,Furniture,284.45,6,42.16,North
469,2021-04-14,Electronics,753.94,15,72.7,East
470,2021-04-15,Grocery,671.23,1,169.12,West
471,2021-04-16,Grocery,650.35,18,193.08,North
472,2021-04-17,Clothing,253.97,1,62.34,West
473,2021-04-18,Grocery,786.27,12,52.34,East
474,2021-04-19,Grocery,291.66,1,18.96,North
475,2021-04-20,Clothing,844.51,17,122.04,South
476,2021-04-21,Furniture,965.95,17,273.3,South
477,2021-04-22,Clothing,388.61,10,106.15,North
478,2021-04-23,Clothing,647.85,8,121.7,East
479,2021-04-24,Furniture,110.51,15,9.29,North
480,2021-04-25,Clothing,119.57,2,13.25,West
481,2021-04-26,Electronics,826.55,3,247.08,East
482,2021-04-27,Furniture,463.92,6,67.45,South
483,2021-04-28,Furniture,269.34,10,48.72,West
484,2021-04-29,Electronics,560.29,19,90.46,East
485,2021-04-30,Furniture,767.55,18,219.35,North
486,2021-05-01,Electronics,209.0,14,24.0,North
487,2021-05-02,Clothing,705.3,15,67.07,East
488,2021-05-03,Electronics,757.21,5,171.69,East
489,2021-05-04,Clothing,798.72,8,93.04,South
490,2021-05-05,Electronics,172.2,18,51.58,East
491,2021-05-06,Furniture,647.99,15,163.9,North
492,2021-05-07,Furniture,251.37,19,33.78,North
493,2021-05-08,Electronics,327.46,13,77.51,North
494,2021-05-09,Furniture,506.59,19,37.26,North
495,2021-05-10,Grocery,724.18,13,156.41,North
496,2021-05-11,Clothing,631.63,10,174.36,West
497,2021-05-12,Electronics,713.24,8,212.71,North
498,2021-05-13,Furniture,825.26,13,100.49,North
499,2021-05-14,Electronics,841.98,19,44.7,North
500,2021-05-15,Furniture,656.69,2,130.73,East
501,2021-05-16,Electronics,110.62,18,27.29,West
502,2021-05-17,Grocery,872.91,3,55.87,East
503,2021-05-18,Electronics,789.53,5,102.9,South
504,2021-05-19,Clothing,708.51,10,196.26,South
505,2021-05-20,Clothing,934.72,13,158.87,North
506,2021-05-21,Furniture,568.92,12,111.58,West
507,2021-05-22,Furniture,170.09,4,18.77,North
508,2021-05-23,Furniture,434.82,1,56.94,West
509,2021-05-24,Clothing,891.82,3,106.25,North
510,2021-05-25,Clothing,722.16,12,42.27,East
511,2021-05-26,Clothing,173.81,17,30.01,West
512,2021-05-27,Electronics,120.15,14,24.57,West
513,2021-05-28,Grocery,499.01,15,70.26,South
514,2021-05-29,Grocery,752.61,13,161.42,West
515,2021-05-30,Clothing,317.91,16,88.83,North
516,2021-05-31,Furniture,665.72,11,188.97,South
517,2021-06-01,Furniture,224.5,19,61.03,South
518,2021-06-02,Grocery,576.31,12,111.22,North
519,2021-06-03,Clothing,991.97,5,279.81,East
520,2021-06-04,Electronics,120.34,6,16.63,West
521,2021-06-05,Clothing,284.89,19,38.15,South
522,2021-06-06,Furniture,848.64,15,215.43,North
523,2021-06-07,Grocery,333.9,5,96.04,West
524,2021-06-08,Furniture,896.36,16,254.7,West
525,2021-06-09,Electronics,566.42,4,133.09,South
526,2021-06-10,Clothing,305.99,3,15.59,North
527,2021-06-11,Furniture,346.63,13,48.63,South
528,2021-06-12,Electronics,804.69,8,233.63,South
529,2021-06-13,Furniture,423.7,11,97.25,South
530,2021-06-14,Electronics,953.08,9,197.73,North
531,2021-06-15,Electronics,222.5,14,33.37,North
532,2021-06-16,Grocery,389.21,11,61.58,East
533,2021-06-17,Electronics,219.34,7,27.19,North
534,2021-06-18,Electronics,914.91,11,210.03,South
535,2021-06-19,Furniture,980.04,14,232.28,South
536,2021-06-20,Electronics,576.15,16,132.12,South
