date,category,sales,quantity,profit,region
2020-04-17,Clothing,18.11,13.0,,East
2020-04-18,Groceries,205.12,12.0,108.94,Central
2020-04-19,Furniture,581.57,8.0,372.89,South
2020-04-20,Home Decor,672.3,8.0,-78.67,West
2020-04-21,Home Decor,778.12,13.0,155.86,North
2020-04-22,Clothing,535.47,8.0,290.04,East
2020-04-23,Furniture,594.23,9.0,213.93,East
2020-04-24,Home Decor,488.09,13.0,-80.15,East
2020-04-25,Furniture,950.47,1.0,333.95,South
2020-04-26,Furniture,737.97,1.0,7.25,South
2020-04-27,Home Decor,619.09,11.0,259.39,Central
2020-04-28,Clothing,153.53,4.0,,North
2020-04-29,Furniture,605.26,9.0,239.49,North
2020-04-30,Clothing,422.3,3.0,-86.51,West
2020-05-01,Clothing,405.89,8.0,-92.33,East
2020-05-02,Electronics,834.29,6.0,195.73,
2020-05-03,Clothing,12.13,6.0,-51.24,North
2020-05-04,Electronics,551.21,8.0,181.49,South
2020-05-05,Furniture,90.96,2.0,-51.82,South
2020-05-06,Home Decor,590.8,10.0,196.62,West
2020-05-07,Home Decor,568.74,10.0,175.62,North
2020-05-08,Furniture,296.91,11.0,,South
2020-05-09,Groceries,225.01,8.0,339.27,East
2020-05-10,Electronics,967.27,11.0,353.47,West
2020-05-11,Furniture,400.61,4.0,211.57,North
2020-05-12,Home Decor,564.45,1.0,122.83,South
2020-05-13,Furniture,655.23,2.0,195.85,Central
2020-05-14,Groceries,82.75,9.0,269.72,North
2020-05-15,Electronics,,14.0,72.28,Central
2020-05-16,Groceries,559.7,5.0,191.82,West
2020-05-17,Electronics,496.39,8.0,132.23,South
2020-05-18,Home Decor,874.71,3.0,152.2,
2020-05-19,Electronics,690.6,13.0,233.67,
2020-05-20,Groceries,688.71,1.0,57.54,Central
2020-05-21,Clothing,268.84,10.0,399.41,East
2020-05-22,Furniture,858.68,8.0,-84.46,South
2020-05-23,Clothing,181.7,1.0,-1.67,Central
2020-05-24,Groceries,274.43,5.0,-92.41,East
2020-05-25,Groceries,790.64,,147.65,
2020-05-26,Clothing,762.08,7.0,226.41,East
2020-05-27,Furniture,324.78,6.0,299.81,Central
2020-05-28,Electronics,230.56,2.0,-38.95,East
2020-05-29,Groceries,841.94,4.0,200.57,West
2020-05-30,Groceries,432.03,13.0,,Central
2020-05-31,Electronics,894.34,13.0,170.84,
2020-06-01,Home Decor,416.13,5.0,276.96,North
2020-06-02,Clothing,100.8,,,South
2020-06-03,Groceries,439.38,1.0,-61.01,North
2020-06-04,Clothing,914.68,8.0,118.96,West
2020-06-05,Groceries,816.32,3.0,299.27,South
2020-06-06,Furniture,349.19,8.0,261.9,South
2020-06-07,Furniture,190.82,12.0,-9.54,North
2020-06-08,Electronics,68.89,5.0,-40.18,North
2020-06-09,Groceries,861.29,10.0,-0.57,South
2020-06-10,Clothing,691.32,12.0,136.8,Central
2020-06-11,Electronics,70.02,,-58.78,Central
2020-06-12,Clothing,523.89,9.0,212.0,South
2020-06-13,Home Decor,890.01,11.0,-85.34,North
2020-06-14,Home Decor,812.38,4.0,127.64,West
2020-06-15,Home Decor,363.38,2.0,30.21,East
2020-06-16,Home Decor,260.73,3.0,72.38,Central
2020-06-17,Clothing,837.83,14.0,159.51,East
2020-06-18,Home Decor,94.95,14.0,265.17,West
2020-06-19,Home Decor,557.49,7.0,25.82,East
2020-06-20,Groceries,891.34,7.0,375.52,Central
2020-06-21,Electronics,174.14,8.0,,West
2020-06-22,Home Decor,998.51,,220.33,East
2020-06-23,Clothing,480.98,11.0,,East
2020-06-24,Groceries,894.02,13.0,348.62,South
2020-06-25,Furniture,696.17,9.0,161.46,North
2020-06-26,,195.51,5.0,219.11,West
2020-06-27,Electronics,622.1,13.0,-75.4,East
2020-06-28,Home Decor,222.9,13.0,,West
2020-06-29,Electronics,182.32,7.0,205.43,North
2020-06-30,Clothing,628.11,13.0,178.0,Central
2020-07-01,Groceries,613.1,9.0,17.31,South
2020-07-02,Groceries,159.45,,351.47,South
2020-07-03,Furniture,324.66,1.0,-32.14,
2020-07-04,Home Decor,707.12,4.0,249.94,West
2020-07-05,Furniture,643.05,7.0,,Central
2020-07-06,Home Decor,923.59,14.0,-96.73,North
2020-07-07,Groceries,73.42,10.0,-37.32,Central
2020-07-08,Groceries,576.58,1.0,,East
2020-07-09,Home Decor,803.31,3.0,75.07,West
2020-07-10,,219.59,1.0,51.47,West
2020-07-11,Clothing,191.81,5.0,26.65,North
2020-07-12,Home Decor,155.77,5.0,326.01,East
2020-07-13,Furniture,802.92,11.0,374.41,Central
2020-07-14,Electronics,648.39,7.0,67.42,Central
2020-07-15,Electronics,,9.0,-67.06,North
2020-07-16,Home Decor,624.89,4.0,160.63,Central
2020-07-17,Furniture,236.95,3.0,42.1,South
2020-07-18,Furniture,358.47,6.0,309.66,East
2020-07-19,Groceries,220.48,14.0,-40.68,North
2020-07-20,Clothing,28.07,4.0,35.82,East
2020-07-21,Electronics,758.5,1.0,48.16,Central
2020-07-22,Groceries,,4.0,219.34,Central
2020-07-23,Home Decor,685.67,1.0,358.69,South
2020-07-24,Groceries,944.68,2.0,131.89,East
2020-07-25,Groceries,609.62,7.0,-21.85,North
2020-07-26,Furniture,61.41,2.0,-20.43,Central
2020-07-27,Groceries,560.71,6.0,238.32,Central
2020-07-28,Groceries,96.55,3.0,-44.53,South
2020-07-29,Groceries,324.37,7.0,119.15,East
2020-07-30,Groceries,277.05,11.0,285.02,North
2020-07-31,Groceries,826.16,14.0,350.9,North
2020-08-01,Electronics,585.2,8.0,161.08,South
2020-08-02,Clothing,907.01,13.0,91.78,East
2020-08-03,Furniture,443.95,2.0,316.17,South
2020-08-04,Clothing,904.59,7.0,,North
2020-08-05,Furniture,513.22,7.0,,West
2020-08-06,,626.28,1.0,258.63,
2020-08-07,Groceries,794.91,7.0,-72.88,Central
2020-08-08,Clothing,843.86,,242.58,South
2020-08-09,Home Decor,478.39,8.0,290.15,South
2020-08-10,Clothing,37.74,12.0,119.86,North
2020-08-11,Electronics,758.99,9.0,-48.45,South
2020-08-12,Home Decor,567.35,3.0,60.7,South
2020-08-13,Furniture,421.87,14.0,-43.42,North
2020-08-14,Electronics,861.39,11.0,342.55,West
2020-08-15,Furniture,352.38,11.0,49.84,South
2020-08-16,Electronics,,5.0,28.66,East
2020-08-17,Electronics,899.65,1.0,68.74,South
2020-08-18,Home Decor,384.08,1.0,-97.65,East
2020-08-19,Groceries,532.44,3.0,387.92,Central
2020-08-20,Home Decor,77.27,7.0,88.69,South
2020-08-21,Clothing,225.51,14.0,-22.09,Central
2020-08-22,Groceries,374.25,11.0,240.01,East
2020-08-23,Clothing,468.18,9.0,-22.11,Central
2020-08-24,Clothing,603.11,3.0,154.12,North
2020-08-25,Electronics,687.97,11.0,-4.18,South
2020-08-26,Groceries,457.83,9.0,-55.67,West
2020-08-27,Furniture,202.95,9.0,-16.7,South
2020-08-28,Furniture,548.27,1.0,108.57,
2020-08-29,Groceries,562.56,2.0,373.04,West
2020-08-30,Groceries,473.53,11.0,-68.99,East
2020-08-31,Furniture,966.54,,228.91,West
2020-09-01,Clothing,718.46,10.0,11.43,West
2020-09-02,Electronics,524.28,10.0,-77.33,East
2020-09-03,Clothing,,,-36.88,West
2020-09-04,Furniture,816.21,5.0,249.45,South
2020-09-05,Electronics,48.93,11.0,218.66,East
2020-09-06,Home Decor,115.92,3.0,220.88,East
2020-09-07,Home Decor,244.91,2.0,199.74,West
2020-09-08,Clothing,53.15,3.0,200.63,Central
2020-09-09,Groceries,877.25,9.0,313.76,East
2020-09-10,Home Decor,83.66,7.0,,North
2020-09-11,Electronics,178.48,8.0,-67.2,South
2020-09-12,Groceries,744.54,6.0,-70.98,Central
2020-09-13,Groceries,169.54,6.0,-22.9,West
2020-09-14,Home Decor,512.41,,-0.54,West
2020-09-15,Home Decor,648.53,4.0,30.08,North
2020-09-16,Clothing,959.47,,202.64,Central
2020-09-17,Home Decor,167.12,13.0,221.41,West
2020-09-18,Furniture,984.1,1.0,-59.67,Central
2020-09-19,Groceries,648.4,12.0,-44.82,North
2020-09-20,Groceries,807.51,1.0,3.57,Central
2020-09-21,Clothing,936.25,11.0,37.64,South
2020-09-22,Furniture,643.71,13.0,352.71,North
2020-09-23,Electronics,261.89,7.0,176.05,North
2020-09-24,Home Decor,221.32,9.0,99.46,West
2020-09-25,Clothing,970.4,3.0,,East
2020-09-26,Clothing,222.57,9.0,,West
2020-09-27,Clothing,368.14,1.0,92.31,East
2020-09-28,Electronics,474.02,7.0,392.7,East
2020-09-29,Electronics,,12.0,-35.15,East
2020-09-30,Groceries,80.77,2.0,-36.5,Central
2020-10-01,Home Decor,301.64,13.0,368.69,West
2020-10-02,Home Decor,970.7,1.0,14.88,West
2020-10-03,Clothing,893.96,2.0,256.95,East
2020-10-04,Home Decor,693.41,4.0,-48.49,North
2020-10-05,Groceries,810.24,5.0,-8.53,East
2020-10-06,Groceries,390.44,13.0,-32.54,Central
2020-10-07,Clothing,259.95,4.0,342.52,North
2020-10-08,Clothing,77.15,8.0,377.57,East
2020-10-09,Groceries,257.45,2.0,114.58,South
2020-10-10,Electronics,670.07,11.0,239.23,West
2020-10-11,Home Decor,751.87,13.0,71.12,East
2020-10-12,Furniture,76.91,7.0,128.37,North
2020-10-13,Electronics,750.21,7.0,367.7,West
2020-10-14,Furniture,208.14,8.0,265.46,North
2020-10-15,Electronics,563.18,11.0,,North
2020-10-16,Electronics,265.75,2.0,-37.84,East
2020-10-17,Home Decor,962.95,12.0,378.71,East
2020-10-18,Home Decor,610.22,8.0,171.4,North
2020-10-19,Electronics,533.69,3.0,214.14,West
2020-10-20,Furniture,,,52.14,West
2020-10-21,Electronics,364.92,13.0,144.93,Central
2020-10-22,Groceries,688.23,5.0,254.98,North
2020-10-23,Groceries,432.92,7.0,-53.05,East
2020-10-24,Home Decor,834.48,4.0,3.37,East
2020-10-25,Electronics,379.75,1.0,,Central
2020-10-26,Clothing,114.69,2.0,340.27,West
2020-10-27,Clothing,767.79,5.0,135.8,West
2020-10-28,Clothing,759.06,5.0,187.64,West
2020-10-29,Home Decor,694.65,14.0,37.61,West
2020-10-30,Electronics,72.8,4.0,225.61,East
2020-10-31,Electronics,11.44,10.0,-63.83,East
2020-11-01,Electronics,418.69,4.0,-9.26,North
2020-11-02,Groceries,,9.0,174.47,East
2020-11-03,Home Decor,472.94,3.0,-6.9,North
2020-11-04,,990.26,10.0,325.07,West
2020-11-05,Furniture,319.55,11.0,,East
2020-11-06,Furniture,,5.0,376.6,West
2020-11-07,Electronics,239.74,9.0,216.61,East
2020-11-08,Home Decor,469.55,7.0,180.91,Central
2020-11-09,Home Decor,278.59,9.0,,West
2020-11-10,Home Decor,944.98,10.0,362.81,West
2020-11-11,Groceries,564.21,2.0,378.72,North
2020-11-12,Furniture,766.12,13.0,97.81,North
2020-11-13,Home Decor,457.36,4.0,-68.13,Central
2020-11-14,Groceries,424.67,,-63.0,Central
2020-11-15,Groceries,,2.0,231.85,West
2020-11-16,Furniture,978.56,13.0,-69.73,
2020-11-17,Home Decor,233.71,12.0,109.09,South
2020-11-18,Furniture,482.02,6.0,-90.68,West
2020-11-19,Furniture,403.9,,-8.48,East
2020-11-20,Furniture,72.71,14.0,118.23,Central
2020-11-21,Furniture,601.44,8.0,103.39,Central
2020-11-22,Electronics,211.54,6.0,-94.7,South
2020-11-23,Furniture,678.47,2.0,107.06,Central
2020-11-24,Electronics,440.29,10.0,248.86,South
2020-11-25,Home Decor,90.42,12.0,344.45,West
2020-11-26,Clothing,257.83,8.0,-15.34,East
2020-11-27,Home Decor,182.39,5.0,-81.24,North
2020-11-28,Electronics,770.46,8.0,11.63,Central
2020-11-29,Clothing,123.17,6.0,-94.81,South
2020-11-30,Electronics,153.34,12.0,51.7,North
2020-12-01,Home Decor,836.52,7.0,166.98,South
2020-12-02,Home Decor,712.95,6.0,-59.83,South
2020-12-03,Groceries,451.67,8.0,165.82,North
2020-12-04,Furniture,453.13,14.0,66.48,South
2020-12-05,Groceries,947.4,2.0,193.6,South
2020-12-06,,208.66,3.0,95.57,South
2020-12-07,Furniture,178.72,1.0,-56.8,
2020-12-08,,28.22,9.0,157.85,West
2020-12-09,Groceries,186.11,12.0,-46.45,East
2020-12-10,Furniture,169.73,14.0,-55.37,North
2020-12-11,Groceries,,12.0,10.25,East
2020-12-12,Furniture,,9.0,314.08,West
2020-12-13,Clothing,880.78,6.0,141.23,North
2020-12-14,Electronics,509.36,6.0,363.99,East
2020-12-15,Electronics,838.47,11.0,308.89,
2020-12-16,Home Decor,438.42,7.0,,North
2020-12-17,Groceries,340.26,3.0,308.78,North
2020-12-18,Furniture,478.9,1.0,44.75,South
2020-12-19,Furniture,149.79,1.0,152.58,Central
2020-12-20,Furniture,582.59,13.0,-72.41,North
2020-12-21,Home Decor,,3.0,23.45,North
2020-12-22,Electronics,233.17,12.0,41.17,
2020-12-23,Clothing,184.32,1.0,62.79,West
2020-12-24,Groceries,512.98,11.0,332.78,East
2020-12-25,Electronics,37.58,14.0,,South
2020-12-26,Electronics,629.45,3.0,7.75,Central
2020-12-27,Home Decor,902.92,5.0,304.15,North
2020-12-28,Clothing,398.56,9.0,84.51,North
2020-12-29,Electronics,534.83,10.0,241.57,
2020-12-30,,898.15,3.0,394.53,South
2020-12-31,Electronics,879.54,3.0,-87.63,West
2021-01-01,Electronics,900.08,6.0,239.02,East
2021-01-02,Furniture,325.02,2.0,-23.06,North
2021-01-03,Home Decor,429.01,,23.09,South
2021-01-04,Furniture,912.41,8.0,85.03,Central
2021-01-05,Furniture,917.56,10.0,61.22,West
2021-01-06,Groceries,101.13,4.0,-34.11,West
2021-01-07,Clothing,813.98,11.0,-80.47,South
2021-01-08,Furniture,898.09,8.0,-65.57,Central
2021-01-09,,665.98,9.0,39.63,North
2021-01-10,Home Decor,66.62,7.0,,South
2021-01-11,Clothing,757.56,12.0,154.43,South
2021-01-12,Home Decor,717.49,4.0,392.38,South
2021-01-13,Furniture,,,296.53,North
2021-01-14,Home Decor,704.39,14.0,193.81,East
2021-01-15,Groceries,336.7,7.0,222.22,Central
2021-01-16,Furniture,,9.0,8.98,South
2021-01-17,Clothing,599.35,8.0,306.63,East
2021-01-18,Home Decor,549.56,7.0,317.99,East
2021-01-19,Home Decor,136.87,9.0,26.31,South
2021-01-20,Electronics,377.81,11.0,4.08,North
2021-01-21,Electronics,438.36,3.0,159.4,South
2021-01-22,Electronics,838.67,7.0,-97.49,East
2021-01-23,Groceries,990.85,3.0,385.58,West
2021-01-24,Electronics,678.45,2.0,130.54,West
2021-01-25,Groceries,91.51,10.0,212.55,North
2021-01-26,,636.85,6.0,92.53,North
2021-01-27,Furniture,753.13,3.0,188.3,South
2021-01-28,Electronics,226.76,13.0,296.85,North
2021-01-29,Electronics,915.84,10.0,-22.61,South
2021-01-30,Electronics,504.86,,-66.94,West
2021-01-31,Clothing,890.38,13.0,104.65,West
2021-02-01,Electronics,156.65,10.0,293.93,East
2021-02-02,Home Decor,191.9,10.0,32.44,Central
2021-02-03,Home Decor,408.76,13.0,189.87,West
2021-02-04,,840.56,10.0,61.17,West
2021-02-05,Groceries,814.63,1.0,346.1,
2021-02-06,Home Decor,575.0,14.0,113.17,South
2021-02-07,Electronics,968.73,5.0,-86.35,West
2021-02-08,Home Decor,158.8,6.0,-73.85,
2021-02-09,Home Decor,96.3,14.0,238.3,North
2021-02-10,Electronics,904.85,14.0,220.98,West
2021-02-11,Home Decor,637.52,6.0,175.99,East
2021-02-12,Electronics,204.64,9.0,238.85,South
2021-02-13,Furniture,220.47,8.0,189.55,North
2021-02-14,,269.94,10.0,174.77,West
2021-02-15,,397.47,3.0,247.96,North
2021-02-16,Furniture,800.59,14.0,291.11,West
2021-02-17,Clothing,962.79,1.0,121.73,
2021-02-18,Home Decor,417.43,,164.83,North
2021-02-19,Electronics,953.69,2.0,-44.72,South
2021-02-20,Groceries,897.84,3.0,121.9,East
2021-02-21,Clothing,275.41,12.0,288.5,South
2021-02-22,Electronics,177.54,10.0,103.97,Central
2021-02-23,Groceries,338.11,12.0,96.24,West
2021-02-24,Clothing,930.72,11.0,133.27,Central
2021-02-25,Groceries,381.69,2.0,45.03,South
2021-02-26,Furniture,56.69,9.0,-59.0,Central
2021-02-27,Clothing,647.14,4.0,228.04,South
2021-02-28,Home Decor,278.14,12.0,113.89,East
2021-03-01,Home Decor,98.32,10.0,291.08,West
2021-03-02,Electronics,59.38,5.0,180.23,South
2021-03-03,Groceries,458.13,4.0,257.51,South
2021-03-04,Clothing,823.35,7.0,40.04,West
2021-03-05,Home Decor,211.74,13.0,-91.22,North
2021-03-06,Furniture,517.74,14.0,208.68,Central
2021-03-07,Clothing,825.65,7.0,271.56,East
2021-03-08,Home Decor,759.06,7.0,309.23,North
2021-03-09,Electronics,647.38,12.0,-98.84,South
2021-03-10,Furniture,472.64,6.0,,East
2021-03-11,Furniture,14.0,14.0,192.07,Central
2021-03-12,Groceries,971.27,4.0,299.51,West
2021-03-13,Furniture,196.61,5.0,17.04,North
2021-03-14,Electronics,982.77,3.0,-51.62,South
2021-03-15,Groceries,381.58,9.0,181.77,West
2021-03-16,Electronics,825.61,5.0,272.38,Central
2021-03-17,Home Decor,185.9,10.0,149.56,South
2021-03-18,Groceries,514.24,8.0,339.09,East
2021-03-19,Groceries,66.0,1.0,82.19,West
2021-03-20,Groceries,807.59,11.0,-56.57,North
2021-03-21,Clothing,394.18,10.0,87.04,West
2021-03-22,Home Decor,120.04,10.0,-57.16,South
2021-03-23,Clothing,201.6,4.0,354.97,South
2021-03-24,Furniture,574.16,11.0,139.24,South
2021-03-25,Groceries,742.87,14.0,,West
2021-03-26,Groceries,343.82,6.0,-99.98,North
2021-03-27,Furniture,987.01,5.0,125.53,North
2021-03-28,Home Decor,275.46,14.0,1.99,East
2021-03-29,Groceries,687.65,10.0,-16.69,South
2021-03-30,Furniture,235.04,10.0,265.24,West
2021-03-31,Groceries,40.98,7.0,-34.35,North
2021-04-01,Furniture,793.38,2.0,25.47,South
2021-04-02,Clothing,21.54,3.0,24.63,Central
2021-04-03,Furniture,228.01,9.0,-24.91,North
2021-04-04,Clothing,551.67,7.0,113.16,Central
2021-04-05,Home Decor,776.69,14.0,349.52,
2021-04-06,Groceries,779.06,6.0,333.38,East
2021-04-07,Home Decor,435.59,2.0,299.31,North
2021-04-08,Electronics,309.55,4.0,-52.96,West
2021-04-09,Furniture,874.87,11.0,99.07,West
2021-04-10,Home Decor,65.06,9.0,6.53,North
2021-04-11,Clothing,172.98,10.0,251.09,Central
2021-04-12,Home Decor,707.92,14.0,135.16,West
2021-04-13,Clothing,515.35,7.0,188.36,West
2021-04-14,Home Decor,570.7,,247.34,East
2021-04-15,Home Decor,605.53,5.0,173.07,South
2021-04-16,Clothing,153.42,14.0,326.47,West
2021-04-17,Furniture,903.73,14.0,356.17,Central
2021-04-18,Furniture,720.27,4.0,177.77,South
2021-04-19,Furniture,756.91,7.0,112.17,
2021-04-20,Clothing,689.65,8.0,182.42,
2021-04-21,Furniture,970.72,12.0,80.0,West
2021-04-22,Home Decor,356.42,7.0,-68.39,West
2021-04-23,Electronics,16.14,14.0,173.95,East
2021-04-24,Electronics,746.34,8.0,43.58,North
2021-04-25,Furniture,893.41,12.0,47.27,West
2021-04-26,Furniture,859.06,6.0,-48.17,North
2021-04-27,Home Decor,331.58,5.0,109.48,East
2021-04-28,Home Decor,647.81,5.0,45.55,East
2021-04-29,Home Decor,693.63,14.0,233.61,Central
2021-04-30,Clothing,45.67,12.0,311.65,Central
2021-05-01,Furniture,184.42,1.0,-49.48,West
2021-05-02,Furniture,,7.0,-82.83,South
2021-05-03,Furniture,172.58,13.0,,West
2021-05-04,,551.13,2.0,-28.11,Central
2021-05-05,Clothing,223.39,4.0,-10.13,East
2021-05-06,Home Decor,963.11,,-48.68,Central
2021-05-07,Furniture,476.28,6.0,198.85,
2021-05-08,Home Decor,984.81,6.0,79.12,West
2021-05-09,Groceries,188.28,12.0,85.1,Central
2021-05-10,Groceries,608.85,7.0,,North
2021-05-11,Home Decor,840.57,1.0,3.94,North
2021-05-12,Clothing,355.96,2.0,246.54,North
2021-05-13,Home Decor,767.61,3.0,389.03,North
2021-05-14,Home Decor,834.37,14.0,-10.97,West
2021-05-15,Clothing,238.98,1.0,237.12,Central
2021-05-16,Electronics,513.33,13.0,162.26,South
2021-05-17,Furniture,766.03,2.0,185.99,South
2021-05-18,Groceries,588.16,1.0,212.48,East
2021-05-19,Electronics,885.12,12.0,,West
2021-05-20,Electronics,902.52,1.0,-48.27,East
2021-05-21,Furniture,817.17,11.0,359.55,East
2021-05-22,Furniture,167.73,5.0,-61.32,East
2021-05-23,,224.97,2.0,349.8,East
2021-05-24,Groceries,481.75,4.0,91.1,South
2021-05-25,Home Decor,623.98,11.0,91.9,South
2021-05-26,Furniture,,2.0,-8.46,West
2021-05-27,Groceries,76.47,5.0,247.55,West
2021-05-28,Electronics,,2.0,208.06,South
2021-05-29,Electronics,372.77,11.0,186.01,North
2021-05-30,Furniture,187.3,8.0,348.46,South
2021-05-31,Furniture,917.92,2.0,,West
2021-06-01,Electronics,292.39,9.0,380.96,
2021-06-02,Groceries,633.81,4.0,182.75,
2021-06-03,Groceries,782.58,12.0,176.25,North
2021-06-04,Home Decor,240.48,14.0,75.6,South
2021-06-05,Electronics,367.34,14.0,-99.13,East
2021-06-06,Clothing,837.23,2.0,132.89,North
2021-06-07,Electronics,871.75,,-45.64,South
2021-06-08,Electronics,392.13,4.0,362.79,Central
2021-06-09,Furniture,493.89,14.0,180.51,West
2021-06-10,Furniture,880.28,,-92.49,South
2021-06-11,Groceries,987.79,5.0,304.78,Central
2021-06-12,Groceries,255.53,13.0,374.76,Central
2021-06-13,Furniture,521.02,1.0,319.78,South
2021-06-14,Clothing,477.14,4.0,355.49,East
2021-06-15,Clothing,745.67,2.0,230.17,East
2021-06-16,Groceries,619.58,1.0,-36.98,East
2021-06-17,Home Decor,217.28,3.0,7.15,West
2021-06-18,Clothing,333.17,14.0,311.05,North
2021-06-19,Furniture,979.85,,179.99,East
2021-06-20,Electronics,960.74,9.0,274.79,West
2021-06-21,Clothing,127.59,11.0,384.64,Central
