order_id,order_date,customer_id,product_category,region,quantity,unit_price,discount,payment_method,delivery_days,customer_rating,revenue
10108,08/22/2022,1505,Electronics,North,9,451.82,0.04,Wallet,5,2.8,3903.72
10109,02/28/2022,1300,Beauty,Central,9,308.15,0.16,Wallet,4,4.2,2329.61
10110,08/04/2022,1211,Home,South,7,532.9,0.02,Card,4,2.1,3655.69
10111,10/15/2022,1407,Health,East,10,320.62,0.19,Wallet,10,4.0,2597.02
10112,07/07/2022,1155,Beauty,North,7,184.49,0.15,COD,1,3.4,1097.72
10113,05/04/2023,1075,Home,North,7,586.36,0.13,COD,3,4.3,3570.93
10114,09/27/2022,1644,Health,Central,5,413.66,0.07,COD,8,3.8,1923.52
10115,04/17/2022,1837,Clothing,North,2,399.99,0.24,COD,12,4.6,607.98
10116,07/01/2022,1449,Clothing,South,6,316.53,0.16,Card,12,4.2,1595.31
10117,04/10/2022,1839,Clothing,East,5,197.52,0.02,COD,4,1.2,967.85
10118,12/20/2022,1949,Health,West,5,243.78,0.31,COD,2,1.7,841.04
10119,12/22/2022,1085,Electronics,North,8,571.65,0.15,COD,12,3.2,3887.22
10120,10/27/2022,1625,Electronics,East,5,267.51,0.19,Wallet,3,4.7,1083.42
10121,05/17/2022,1249,Toys,North,10,309.07,0.05,Wallet,12,2.7,2936.16
10122,08/26/2022,1481,Health,South,7,531.89,0.32,Wallet,4,2.9,2531.8
10123,10/14/2022,1396,Health,East,4,582.76,0.03,Wallet,9,3.7,2261.11
10124,02/08/2022,1730,Electronics,East,10,41.6,0.18,Card,1,3.3,341.12
10125,11/20/2022,1302,Clothing,East,4,172.06,0.13,Wallet,6,3.9,598.77
10126,01/28/2023,1453,Beauty,Central,6,407.32,0.24,Wallet,7,4.5,1857.38
10127,08/01/2022,1453,Health,West,6,528.7,0.26,Card,9,2.2,2347.43
10128,04/05/2023,1015,Health,Central,10,589.56,0.14,COD,5,2.7,5070.22
10129,09/10/2022,1854,Electronics,West,7,457.73,0.28,COD,11,4.0,2306.96
10130,03/12/2022,1405,Electronics,South,4,339.5,0.11,Card,7,1.8,1208.62
10131,11/27/2022,1675,Health,South,2,184.46,0.19,COD,8,1.5,298.83
10132,07/13/2022,1185,Beauty,West,3,373.7,0.22,Wallet,10,3.1,874.46
10133,01/03/2022,1573,Clothing,West,9,252.41,0.22,Wallet,3,3.6,1771.92
10134,04/09/2023,1824,Electronics,Central,5,553.79,0.29,Card,9,2.1,1965.95
10135,07/03/2022,1681,Toys,West,1,446.97,0.11,COD,11,4.4,397.8
10136,07/02/2022,1658,Electronics,North,9,554.75,0.24,Wallet,8,4.6,3794.49
10137,11/03/2022,1285,Beauty,East,1,200.39,0.01,COD,5,3.8,198.39
10138,08/20/2022,1916,Home,East,4,384.46,0.06,Card,4,1.1,1445.57
10139,02/12/2023,1459,Electronics,South,7,243.13,0.09,Wallet,6,4.7,1548.74
10140,10/16/2022,1123,Beauty,North,4,271.92,0.13,Wallet,12,4.0,946.28
10141,03/08/2023,1225,Toys,East,5,46.55,0.15,Wallet,10,3.9,197.84
10142,04/06/2023,1438,Home,East,5,533.05,0.25,Card,3,1.2,1998.94
10143,04/15/2023,1040,Toys,South,4,409.94,0.01,Wallet,1,4.9,1623.36
10144,06/22/2022,1763,Beauty,West,8,124.52,0.11,COD,1,3.5,886.58
10145,01/06/2023,1866,Clothing,West,4,446.86,0.24,Wallet,7,1.5,1358.45
10146,10/08/2022,1424,Beauty,South,9,418.57,0.2,Card,4,4.0,3013.7
10147,03/15/2023,1782,Home,West,3,206.2,0.03,Wallet,7,4.9,600.04
10148,03/20/2022,1485,Beauty,Central,10,393.81,0.04,Wallet,9,2.9,3780.58
10149,10/23/2022,1145,Clothing,South,1,264.19,0.13,COD,2,4.8,229.85
10150,03/08/2023,1016,Beauty,East,2,139.67,0.03,Wallet,6,4.6,270.96
10151,03/11/2023,1670,Beauty,South,1,444.71,0.35,Card,2,3.0,289.06
10152,02/09/2022,1141,Health,West,8,182.06,0.07,COD,10,4.1,1354.53
10153,11/19/2022,1911,Clothing,North,9,337.13,0.33,Card,5,1.1,2032.89
10154,07/25/2022,1044,Clothing,East,7,390.25,0.17,Wallet,1,1.2,2267.35
10155,02/06/2023,1569,Toys,Central,8,259.14,0.21,Card,4,1.4,1637.76
10156,01/30/2022,1956,Clothing,East,1,249.76,0.08,Card,5,4.3,229.78
10157,06/11/2022,1483,Home,East,4,63.23,0.27,Card,7,2.2,184.63
10158,01/27/2023,1105,Electronics,North,3,103.52,0.1,Wallet,12,4.3,279.5
10159,04/01/2023,1860,Electronics,Central,1,395.33,0.02,Wallet,10,3.4,387.42
10160,07/26/2022,1999,Home,East,5,200.96,0.32,Wallet,9,4.7,683.26
10161,07/12/2022,1831,Home,North,1,315.03,0.26,Wallet,1,3.3,233.12
10162,09/12/2022,1538,Clothing,Central,10,411.51,0.07,COD,5,1.7,3827.04
10163,02/02/2023,1839,Beauty,Central,9,526.14,0.07,Wallet,1,1.3,4403.79
10164,01/09/2023,1401,Clothing,West,3,422.3,0.13,COD,5,1.7,1102.2
10165,01/16/2023,1830,Health,West,5,416.32,0.2,Card,6,2.6,1665.28
10166,12/21/2022,1756,Clothing,North,9,447.81,0.03,Wallet,12,3.1,3909.38
10167,08/05/2022,1109,Clothing,West,3,12.18,0.16,Card,8,4.5,30.69
10168,04/06/2022,1254,Health,West,10,65.37,0.04,Wallet,10,3.9,627.55
10169,04/14/2022,1243,Home,South,9,364.14,0.28,Wallet,9,4.8,2359.63
10170,08/03/2022,1496,Clothing,East,5,396.03,0.05,Card,9,3.6,1881.14
10171,09/27/2022,1724,Electronics,Central,10,430.35,0.26,Wallet,12,2.4,3184.59
10172,04/13/2022,1418,Clothing,East,2,35.95,0.03,Card,7,3.8,69.74
10173,01/08/2022,1889,Home,North,4,480.93,0.16,Card,2,1.6,1615.92
10174,03/06/2022,1751,Toys,West,7,489.84,0.1,Card,10,2.4,3085.99
10175,12/18/2022,1940,Beauty,Central,3,519.57,0.08,COD,2,2.5,1434.01
10176,11/23/2022,1685,Clothing,Central,6,55.51,0.1,Wallet,2,1.2,299.75
10177,10/31/2022,1693,Clothing,West,9,489.63,0.1,Wallet,12,1.6,3966.0
10178,02/15/2022,1890,Health,North,1,199.4,0.25,Card,8,4.9,149.55
10179,06/22/2022,1019,Toys,East,7,563.02,0.1,COD,5,2.5,3547.03
10180,10/16/2022,1923,Electronics,Central,6,82.59,0.23,COD,10,1.7,381.57
10181,04/24/2023,1885,Health,South,1,267.15,0.26,Wallet,9,3.5,197.69
10182,07/31/2022,1295,Clothing,Central,3,265.97,0.15,Card,5,1.3,678.22
10183,05/13/2022,1287,Home,South,6,170.86,0.26,Wallet,7,1.2,758.62
10184,10/18/2022,1664,Health,Central,5,406.13,0.25,COD,9,1.4,1522.99
10185,04/01/2023,1458,Health,Central,2,252.89,0.22,Wallet,2,3.5,394.51
10186,08/31/2022,1062,Home,West,8,422.56,0.06,COD,1,4.4,3177.65
10187,03/02/2022,1437,Home,East,3,338.96,0.17,COD,11,4.2,844.01
10188,01/24/2022,1419,Home,North,10,273.71,0.14,Card,2,4.9,2353.91
10189,06/28/2022,1028,Electronics,North,9,124.15,0.22,Wallet,10,1.3,871.53
10190,02/02/2022,1762,Home,Central,7,465.06,0.1,Wallet,7,2.7,2929.88
10191,01/18/2022,1018,Toys,Central,3,91.21,0.35,Card,8,4.7,177.86
10192,01/23/2022,1646,Clothing,Central,8,45.28,0.06,Card,4,1.6,340.51
10193,12/09/2022,1409,Electronics,East,2,324.92,0.3,COD,8,4.9,454.89
10194,07/19/2022,1087,Beauty,East,5,41.98,0.23,COD,5,2.9,161.62
10195,06/10/2022,1071,Clothing,Central,5,386.5,0.06,Card,3,2.3,1816.55
10196,12/17/2022,1770,Beauty,Central,7,233.94,0.23,Wallet,8,4.0,1260.94
10197,04/17/2023,1798,Toys,Central,2,395.97,0.31,Card,11,1.9,546.44
10198,03/24/2023,1285,Beauty,North,10,584.37,0.34,Wallet,4,1.0,3856.84
10199,11/08/2022,1337,Clothing,North,8,448.73,0.23,Wallet,4,2.1,2764.18
10200,03/11/2022,1253,Toys,East,1,78.62,0.21,Card,3,2.5,62.11
10201,07/02/2022,1162,Electronics,Central,10,268.12,0.04,Card,7,4.5,2573.95
10202,06/21/2022,1683,Health,East,10,188.89,0.29,Card,6,3.6,1341.12
10203,08/01/2022,1282,Beauty,West,8,593.3,0.07,Card,10,4.4,4414.15
10204,02/03/2022,1844,Electronics,West,9,209.9,0.05,Wallet,6,3.8,1794.64
10205,11/03/2022,1183,Electronics,South,7,572.17,0.21,COD,2,1.6,3164.1
10206,02/19/2023,1364,Beauty,South,2,312.93,0.16,Card,8,2.7,525.72
10207,07/15/2022,1560,Clothing,North,5,339.64,0.02,Card,6,2.2,1664.24
10208,03/23/2023,1033,Clothing,South,8,174.94,0.3,COD,1,3.8,979.66
10209,01/02/2022,1259,Clothing,Central,9,200.86,0.22,COD,10,2.9,1410.04
10210,12/07/2022,1099,Toys,North,6,242.37,0.19,Wallet,9,3.2,1177.92
10211,02/02/2022,1035,Clothing,Central,3,350.95,0.06,Wallet,10,1.3,989.68
10212,01/25/2023,1243,Toys,North,1,331.47,0.02,Wallet,12,3.6,324.84
10213,03/20/2022,1139,Clothing,North,8,54.86,0.17,Wallet,9,1.6,364.27
10214,04/01/2022,1070,Electronics,North,5,491.93,0.18,Card,8,4.4,2016.91
10215,01/22/2023,1660,Health,East,4,487.51,0.05,COD,6,4.4,1852.54
10216,02/24/2023,1752,Home,Central,1,564.86,0.17,COD,3,3.0,468.83
10217,08/17/2022,1349,Home,East,6,48.15,0.23,Card,3,4.3,222.45
10218,02/18/2023,1439,Electronics,Central,1,490.35,0.1,COD,6,1.0,441.32
10219,09/27/2022,1646,Electronics,Central,1,259.48,0.3,Wallet,4,2.1,181.64
10220,01/02/2022,1772,Clothing,West,3,320.66,0.34,Wallet,2,1.3,634.91
10221,06/16/2022,1232,Toys,East,6,575.79,0.35,Wallet,3,1.0,2245.58
10222,03/02/2022,1149,Home,West,6,357.2,0.07,Wallet,9,3.8,1993.18
10223,05/08/2022,1831,Electronics,North,1,286.95,0.16,Card,6,1.3,241.04
10224,05/08/2022,1531,Clothing,South,7,314.48,0.27,COD,3,5.0,1606.99
10225,03/30/2022,1170,Toys,West,7,249.24,0.13,Wallet,4,1.3,1517.87
10226,09/19/2022,1985,Home,North,1,31.05,0.33,Wallet,8,3.3,20.8
10227,08/10/2022,1111,Electronics,North,10,61.02,0.17,Card,9,1.2,506.47
10228,01/18/2023,1960,Electronics,South,8,72.3,0.09,COD,11,3.1,526.34
10229,05/03/2022,1466,Health,East,3,345.45,0.03,COD,2,3.3,1005.26
10230,01/22/2022,1291,Clothing,South,5,282.42,0.32,COD,8,3.9,960.23
10231,11/21/2022,1467,Home,Central,5,213.1,0.12,COD,7,4.1,937.64
10232,03/02/2023,1346,Home,East,8,330.95,0.32,COD,8,3.1,1800.37
10233,06/04/2022,1748,Home,East,9,321.39,0.14,Wallet,8,1.9,2487.56
10234,07/06/2022,1877,Health,East,6,433.29,0.09,Card,10,4.8,2365.76
10235,02/17/2022,1931,Toys,Central,4,426.91,0.07,Card,3,1.8,1588.11
10236,03/19/2022,1778,Toys,South,2,576.13,0.23,COD,6,3.3,887.24
10237,05/11/2022,1621,Home,South,6,93.89,0.26,Wallet,6,3.6,416.87
10238,01/09/2023,1439,Toys,North,4,121.39,0.18,Wallet,2,1.5,398.16
10239,03/21/2022,1507,Home,North,7,341.48,0.28,Card,5,4.0,1721.06
10240,04/17/2023,1459,Electronics,South,7,467.54,0.11,COD,4,3.6,2912.77
10241,06/27/2022,1726,Health,South,8,369.62,0.18,Card,6,4.7,2424.71
10242,01/19/2023,1663,Toys,North,1,362.73,0.08,Wallet,6,1.1,333.71
10243,02/21/2022,1693,Toys,South,9,201.14,0.05,COD,7,4.4,1719.75
10244,04/18/2022,1237,Health,South,10,493.86,0.02,Wallet,6,3.6,4839.83
10245,03/29/2023,1218,Electronics,North,6,467.98,0.21,Card,2,4.8,2218.23
10246,04/08/2022,1586,Clothing,Central,8,133.95,0.23,Card,5,1.5,825.13
10247,11/17/2022,1348,Clothing,North,9,387.53,0.26,Wallet,7,3.8,2580.95
10248,04/07/2023,1627,Home,West,10,431.58,0.12,Card,6,2.0,3797.9
10249,12/19/2022,1301,Electronics,North,1,240.11,0.26,Wallet,12,4.1,177.68
10250,02/19/2023,1546,Electronics,East,8,293.71,0.05,COD,6,2.7,2232.2
10251,08/23/2022,1597,Home,South,1,546.1,0.29,Wallet,5,2.3,387.73
10252,02/26/2022,1435,Clothing,East,6,514.85,0.21,Card,3,3.6,2440.39
10253,05/22/2022,1204,Toys,Central,3,65.61,0.31,Card,5,3.8,135.81
10254,02/25/2023,1206,Home,East,7,53.79,0.11,Card,8,2.9,335.11
10255,01/27/2022,1370,Health,South,4,536.81,0.06,Wallet,7,2.8,2018.41
10256,03/24/2022,1643,Electronics,East,5,366.19,0.01,COD,10,4.4,1812.64
10257,04/19/2023,1436,Clothing,North,2,573.48,0.17,COD,6,4.5,951.98
10258,12/23/2022,1309,Health,Central,1,422.64,0.19,COD,5,2.3,342.34
10259,01/22/2022,1155,Health,North,9,417.08,0.33,COD,7,2.9,2514.99
10260,08/04/2022,1892,Health,East,6,360.84,0.1,Card,7,3.2,1948.54
10261,04/15/2022,1649,Beauty,South,5,570.89,0.17,Card,3,3.1,2369.19
10262,01/18/2022,1376,Home,East,6,291.77,0.28,COD,4,1.6,1260.45
10263,05/08/2022,1109,Electronics,Central,4,93.88,0.09,Card,1,1.1,341.72
10264,06/21/2022,1358,Toys,North,8,347.04,0.02,Wallet,12,1.1,2720.79
10265,08/17/2022,1444,Beauty,West,4,201.84,0.19,Wallet,10,3.6,653.96
10266,03/07/2022,1207,Beauty,East,1,303.0,0.1,COD,2,1.1,272.7
10267,07/11/2022,1081,Electronics,North,4,51.02,0.34,Card,12,2.0,134.69
10268,09/22/2022,1722,Clothing,North,3,542.59,0.17,Card,2,3.4,1351.05
10269,02/02/2023,1382,Electronics,South,3,304.87,0.02,Card,1,2.5,896.32
10270,04/11/2023,1166,Health,Central,7,221.38,0.25,Wallet,4,3.9,1162.24
10271,03/04/2023,1094,Home,West,1,414.87,0.03,Card,3,4.0,402.42
10272,04/30/2022,1351,Beauty,Central,9,544.1,0.09,COD,10,3.9,4456.18
10273,02/07/2023,1877,Electronics,South,1,14.56,0.09,COD,1,2.8,13.25
10274,11/05/2022,1747,Beauty,East,2,521.09,0.22,COD,1,3.6,812.9
10275,09/09/2022,1054,Electronics,North,7,285.62,0.19,COD,12,2.4,1619.47
10276,03/18/2023,1616,Toys,East,4,308.55,0.01,Wallet,9,4.5,1221.86
10277,09/26/2022,1836,Clothing,South,3,10.24,0.05,COD,4,1.2,29.18
10278,09/19/2022,1238,Health,West,10,538.9,0.33,COD,2,2.7,3610.63
10279,03/14/2023,1671,Toys,Central,3,407.5,0.19,COD,9,4.3,990.23
10280,10/30/2022,1707,Beauty,East,5,96.82,0.08,Wallet,2,4.1,445.37
10281,07/15/2022,1602,Electronics,North,6,238.04,0.18,Wallet,7,1.2,1171.16
10282,12/30/2022,1353,Home,Central,5,347.74,0.16,Wallet,12,3.9,1460.51
10283,07/07/2022,1131,Health,Central,9,466.85,0.25,COD,5,2.3,3151.24
10284,06/26/2022,1220,Home,South,10,11.46,0.16,Card,1,4.2,96.26
10285,01/28/2022,1674,Home,South,9,444.16,0.2,COD,8,4.5,3197.95
10286,06/27/2022,1829,Home,South,4,22.39,0.04,Wallet,10,4.2,85.98
10287,04/26/2023,1529,Toys,North,7,558.04,0.31,Card,3,2.0,2695.33
10288,10/20/2022,1248,Clothing,South,6,502.07,0.17,Card,6,1.6,2500.31
10289,03/01/2022,1074,Clothing,Central,6,163.07,0.2,Wallet,11,1.4,782.74
10290,08/21/2022,1886,Clothing,North,2,580.87,0.35,Card,3,2.4,755.13
10291,04/06/2022,1704,Beauty,Central,6,65.26,0.02,Wallet,10,2.5,383.73
10292,06/08/2022,1038,Health,Central,9,390.91,0.22,Wallet,7,2.6,2744.19
10293,01/01/2022,1291,Home,South,7,43.45,0.19,Wallet,4,3.0,246.36
10294,11/12/2022,1944,Home,East,1,366.67,0.15,Card,1,3.4,311.67
10295,01/10/2023,1821,Toys,North,6,436.47,0.25,COD,10,3.7,1964.12
10296,04/26/2022,1941,Toys,North,2,415.55,0.29,Card,1,3.6,590.08
10297,04/28/2023,1441,Electronics,West,6,24.23,0.01,Wallet,6,3.6,143.93
10298,01/14/2022,1020,Clothing,West,5,452.19,0.11,Wallet,1,3.9,2012.25
10299,04/14/2022,1121,Home,Central,9,413.69,0.31,Card,5,4.4,2569.01
10300,01/16/2023,1169,Home,Central,2,524.14,0.31,Wallet,10,4.3,723.31
10301,05/29/2022,1990,Health,East,9,240.94,0.33,COD,5,4.7,1452.87
10302,04/25/2023,1214,Electronics,South,7,264.67,0.28,Card,5,2.4,1333.94
10303,02/21/2022,1722,Electronics,Central,6,139.0,0.18,Wallet,4,1.9,683.88
10304,04/11/2022,1751,Beauty,East,10,10.14,0.1,Wallet,6,2.9,91.26
10305,02/06/2023,1212,Electronics,South,8,79.73,0.19,Wallet,3,4.7,516.65
10306,09/11/2022,1458,Toys,West,1,290.64,0.23,Wallet,3,3.7,223.79
10307,02/25/2022,1086,Toys,South,1,210.34,0.33,COD,1,3.7,140.93
10308,07/12/2022,1256,Toys,East,10,206.22,0.25,Wallet,3,2.7,1546.65
10309,10/22/2022,1266,Home,West,7,383.53,0.08,Card,4,4.7,2469.93
10310,03/15/2023,1047,Beauty,North,3,335.2,0.11,Wallet,7,4.6,894.98
10311,09/26/2022,1562,Home,West,2,489.74,0.31,COD,1,4.2,675.84
10312,02/14/2023,1994,Clothing,South,1,410.85,0.05,COD,11,4.9,390.31
10313,04/07/2023,1396,Electronics,Central,5,458.36,0.07,Wallet,5,3.8,2131.37
10314,02/25/2022,1285,Health,North,4,506.72,0.14,Card,3,2.9,1743.12
10315,03/18/2022,1758,Electronics,South,9,406.69,0.19,Card,12,2.6,2964.77
10316,02/08/2023,1673,Toys,East,10,404.02,0.02,Wallet,7,2.2,3959.4
10317,04/09/2023,1169,Health,South,3,19.66,0.26,Card,6,3.7,43.65
10318,07/24/2022,1454,Clothing,East,8,331.92,0.31,Wallet,10,4.6,1832.2
